fid,id_ecop,id_via,propriedad,vidrao,papelao,embalao,lixo_geral,oleao,pilhao,dep_roupa,lugar,ano_instal,ano_subs,ano_reforc
99,113,204,ERSUC,sim,sim,sim,,sim,,,Águeda,,,
100,114,837,CMA,sim,sim,sim,sim,,,,Águeda,,,
101,117,917,ERSUC,sim,sim,sim,,,,,Águeda,,,
102,118,116,Vários,sim,sim,sim,,,sim,,Águeda,,,
103,90,4516,ERSUC,sim,,,,,,,A-dos-Ferreiros,,,
104,119,116,Vários,sim,sim,sim,,,sim,,Águeda,,,
105,120,970,Vários,sim,sim,sim,,sim,,,Águeda,,,
106,121,952,ERSUC,sim,sim,sim,,,,,Águeda,,,
107,122,216,CMA,,,,,,sim,,Águeda,,,
108,123,121,Vários,sim,sim,sim,,,sim,,Águeda,,,
109,125,43,ERSUC,sim,,,,,,,,,,
110,126,938,ERSUC,sim,sim,sim,,,,,Águeda,,,
111,128,938,ERSUC,sim,sim,sim,,,,,Águeda,,,
112,130,214,CMA,sim,sim,sim,sim,,,,Águeda,,,
113,131,3715,ERSUC,sim,sim,sim,,,,,Raso Paredes,,,
114,132,3712,ERSUC,sim,sim,sim,,,,,Raso de Paredes,,,
115,134,1908,ERSUC,sim,,,,,,,Casainho de Baixo,,,
116,135,1901,ERSUC,sim,sim,sim,,,,,Casainho de Baixo,,,
117,136,1887,ERSUC,sim,sim,sim,,,,,Oronhe,,,
118,137,1922,ERSUC,sim,,,,,,,Casal d'Álvaro,,,
119,140,3324,ERSUC,sim,,,,,,,Óis da Ribeira,,,
120,141,3319,ERSUC,sim,sim,sim,,,sim,,Óis da Ribeira,,,
121,143,2820,ERSUC,sim,sim,sim,,,,,Serém de Cima,,,
122,144,2819,Vários,sim,sim,sim,,sim,,,Serem de Cima,,,
123,145,2803,ERSUC,sim,sim,sim,,,,,Serém de Cima,,,
124,146,2122,ERSUC,sim,,,,,,,Lameiro,,,
125,147,1808,ERSUC,sim,sim,sim,,,,,Lamas,,,
126,148,3176,ERSUC,sim,sim,sim,,,,,Beco,,,
127,149,2484,ERSUC,sim,sim,sim,,,,,Soutelo,,,
128,152,3102,Vários,sim,sim,sim,,,,sim,Macinhata do Vouga,,,
129,153,2636,ERSUC,sim,sim,sim,,,,,Sernada do Vouga,,,
130,154,2619,ERSUC,sim,sim,sim,,,,,Jafafe de Cima,,,
131,155,3006,ERSUC,sim,sim,sim,,,,,Macinhata do Vouga,,,
132,156,3167,ERSUC,sim,sim,sim,,,,,Macinhata do Vouga,,,
133,157,3069,Varios,sim,sim,sim,,sim,,,Macinhata do Vouga,,,
134,158,3082,Vários,sim,,,,,,sim,Macinhata do Vouga,,,
135,159,2417,Vários,sim,sim,sim,,,,sim,Valongo,,,
136,129,890,ERSUC,sim,sim,sim,,,,,Águeda,,,
137,160,2461,ERSUC,sim,sim,sim,sim,,,,Brunhido,,,
138,161,2337,Vários,sim,sim,sim,,sim,,sim,Póvoa do Espirito Santo,,,
139,162,2356,ERSUC,sim,sim,sim,,,,,Arrancada do Vouga,,,
140,163,1565,ERSUC,sim,sim,sim,,,,,Sobreiro,,,
141,165,3178,ERSUC,sim,sim,sim,,,,,Carvalha da Portela,,,
142,166,2341,ERSUC,sim,sim,sim,,,,,Arrancada do Vouga,,,
143,167,2348,ERSUC,sim,sim,sim,,,,,Arrancada do Vouga,,,
144,168,2385,ERSUC,sim,sim,sim,,,,,Veiga,,,
145,169,2385,ERSUC,sim,,,,,,,Veiga,,,
146,170,2326,ERSUC,sim,sim,sim,,,,,Aguieira,,,
147,171,2334,ERSUC,sim,sim,sim,,,,,Aguieira-Vale das Figueiras,,,
148,172,2303,ERSUC,sim,sim,sim,,,,,Cumeada,,,
